,0
0,HBS
1,Online
2,is
3,proud
4,to
5,announce
6,their
7,partnership
8,with
9,@
10,sustharvintl
11,for
12,the
13,second-annual
14,Community
15,Challenge
16,Learn
17,how
18,to
19,become
20,a
21,part
22,of
23,this
24,effort
25,#
26,Community
27,#
28,ClimateChange
29,Leading
30,with
31,Finance
32,will
33,provide
34,you
35,with
36,a
37,thorough
38,understanding
39,of
40,financial
41,principles
42,you
43,can
44,leverage
45,to
46,better
47,communicate
48,with
49,key
50,stakeholders
51,and
52,advance
53,your
54,#
55,career
56,Explore
57,this
58,online
59,course
60,here
61,#
62,Companies
63,worldwide
64,are
65,using
66,#
67,data
68,to
69,Boost
70,process
71,and
72,cost
73,efficiency
74,Drive
75,strategy
76,and
77,change
78,Improve
79,financial
80,performance
81,Before
82,diving
83,into
84,the
85,benefits
86,of
87,data
88,analysis
89,it
90,’
91,s
92,important
93,to
94,understand
95,what
96,#
97,BusinessAnalytics
98,means.https
99,It
100,seems
101,counterintuitive
102,but
103,website
104,privacy
105,notices
106,appear
107,to
108,discourage
109,shoppers
110,from
111,buying
112,#
113,PrivacyPolicy
114,#
115,DataProtection
116,Here
117,are
118,6
119,steps
120,to
121,bolster
122,your
123,financial
124,literacy
125,no
126,matter
127,your
128,industry
129,or
130,background
131,#
132,FinancialSkills
133,#
134,Finance
135,Finding
136,ways
137,to
138,proactively
139,disconnect
140,from
141,a
142,screen
143,throughout
144,your
145,day
146,can
147,help
148,you
149,maintain
150,and
151,regain
152,your
153,energy
154,#
155,WorkfromHome
156,#
157,ScreenTime
158,Are
159,you
160,interested
161,in
162,expanding
163,your
164,financial
165,fluency
166,?
167,We
168,'ve
169,gathered
170,20
171,terms
172,and
173,definitions
174,you
175,should
176,know
177,#
178,Finance
179,#
180,FinanceSkills
181,How
182,do
183,emotions
184,affect
185,negotiations
186,?
187,The
188,emotions
189,you
190,feel
191,when
192,entering
193,a
194,#
195,negotiation
196,can
197,have
198,a
199,profound
200,impact
201,on
202,the
203,outcomes
204,you
205,achieve
206,#
207,EmotionalIntelligence
208,“
209,Flex
210,time
211,”
212,is
213,starting
214,to
215,feel
216,like
217,“
218,working
219,all
220,the
221,time.
222,”
223,@
224,HarvardBiz
225,offers
226,4
227,concrete
228,ways
229,to
230,tackle
231,this
232,problem
233,#
234,WorkingfromHome
235,#
236,FlexTime
237,We
238,are
239,proud
240,to
241,partner
242,with
243,@
244,sustharvintl
245,to
246,work
247,toward
248,a
249,#
250,sustainable
251,future
252,for
253,our
254,planet
255,and
256,are
257,excited
258,to
259,see
260,what
261,positive
262,change
263,can
264,happen
265,when
266,the
267,HBS
268,Online
269,#
270,Community
271,comes
272,together
273,to
274,tackle
275,an
276,issue
277,on
278,a
279,global
280,scale
281,Learn
282,more
283,here
284,When
285,the
286,private
287,sector
288,pivots
289,to
290,serve
291,the
292,greater
293,good
294,its
295,reach
296,and
297,power
298,is
299,immense
300,via
301,@
302,HarvardBiz
303,#
304,PandemicResponse
305,#
306,GoodBusiness
307,Explore
308,how
309,#
310,managers
311,Wall
312,Street
313,#
314,analysts
315,and
316,#
317,entrepreneurs
318,leverage
319,accounting
320,to
321,drive
322,strategic
323,decision-making
324,Learn
325,more
326,about
327,this
328,online
329,course
330,here
331,#
332,In
333,its
334,more
335,dangerous
336,manifestations
337,online
338,disinformation
339,can
340,defraud
341,customers
342,and
343,endanger
344,local
345,businesses
346,#
347,SmallBusiness
348,#
349,Disinformation
350,Not
351,sure
352,if
353,a
354,management
355,training
356,program
357,is
358,right
359,for
360,you
361,?
362,Here
363,'s
364,how
365,completing
366,such
367,a
368,program
369,can
370,help
371,you
372,reach
373,your
374,personal
375,and
376,professional
377,goals
378,#
379,Management
380,#
381,ManagementTraining
382,In
383,this
384,final
385,episode
386,of
387,the
388,season
389,HBS
390,Professors
391,Youngme
392,Moon
393,Felix
394,Oberholzer-Gee
395,and
396,Mihir
397,Desai
398,offer
399,an
400,extended
401,set
402,of
403,recommendations
404,for
405,watching
406,reading
407,and
408,other
409,projects
410,during
411,the
412,summer
413,months
414,#
415,SummerReading
416,#
417,Podcast
418,Determined
419,intelligent
420,minds
421,in
422,partnership
423,with
424,a
425,mission-driven
426,organization
427,have
428,the
429,potential
430,to
431,make
432,global
433,change
434,at
435,a
436,time
437,when
438,it
439,’
440,s
441,needed
442,most
443,Learn
444,how
445,you
446,can
447,help
448,@
449,sustharvintl
450,with
451,their
452,mission
453,#
454,Community
455,#
456,ClimateChange
457,In
458,this
459,interview
460,with
461,@
462,HarvardBiz
463,HBS
464,Professor
465,Nancy
466,Koehn
467,discusses
468,how
469,past
470,leaders
471,have
472,handled
473,times
474,of
475,high
476,anxiety
477,#
478,Leadership
479,#
480,CourageousLeadership
481,By
482,understanding
483,the
484,basics
485,of
486,financial
487,valuation
488,anyone
489,can
