,0
0,HBS
1,Online
2,proud
3,announce
4,partnership
5,sustharvintl
6,second-annual
7,Community
8,Challenge
9,Learn
10,become
11,part
12,effort
13,Community
14,ClimateChange
15,Leading
16,Finance
17,provide
18,thorough
19,understanding
20,financial
21,principles
22,leverage
23,better
24,communicate
25,key
26,stakeholders
27,advance
28,career
29,Explore
30,online
31,course
32,Companies
33,worldwide
34,using
35,data
36,Boost
37,process
38,cost
39,efficiency
40,Drive
41,strategy
42,change
43,Improve
44,financial
45,performance
46,Before
47,diving
48,benefits
49,data
50,analysis
51,important
52,understand
53,BusinessAnalytics
54,means.https
55,It
56,seems
57,counterintuitive
58,website
59,privacy
60,notices
61,appear
62,discourage
63,shoppers
64,buying
65,PrivacyPolicy
66,DataProtection
67,Here
68,6
69,steps
70,bolster
71,financial
72,literacy
73,matter
74,industry
75,background
76,FinancialSkills
77,Finance
78,Finding
79,ways
80,proactively
81,disconnect
82,screen
83,throughout
84,day
85,help
86,maintain
87,regain
88,energy
89,WorkfromHome
90,ScreenTime
91,Are
92,interested
93,expanding
94,financial
95,fluency
96,We
97,'ve
98,gathered
99,20
100,terms
101,definitions
102,know
103,Finance
104,FinanceSkills
105,How
106,emotions
107,affect
108,negotiations
109,The
110,emotions
111,feel
112,entering
113,negotiation
114,profound
115,impact
116,outcomes
117,achieve
118,EmotionalIntelligence
119,“
120,Flex
121,time
122,”
123,starting
124,feel
125,like
126,“
127,working
128,time
129,”
130,HarvardBiz
131,offers
132,4
133,concrete
134,ways
135,tackle
136,problem
137,WorkingfromHome
138,FlexTime
139,We
140,proud
141,partner
142,sustharvintl
143,work
144,toward
145,sustainable
146,future
147,planet
148,excited
149,see
150,positive
151,change
152,happen
153,HBS
154,Online
155,Community
156,comes
157,together
158,tackle
159,issue
160,global
161,scale
162,Learn
163,When
164,private
165,sector
166,pivots
167,serve
168,greater
169,good
170,reach
171,power
172,immense
173,via
174,HarvardBiz
175,PandemicResponse
176,GoodBusiness
177,Explore
178,managers
179,Wall
180,Street
181,analysts
182,entrepreneurs
183,leverage
184,accounting
185,drive
186,strategic
187,decision-making
188,Learn
189,online
190,course
191,In
192,dangerous
193,manifestations
194,online
195,disinformation
196,defraud
197,customers
198,endanger
199,local
200,businesses
201,SmallBusiness
202,Disinformation
203,Not
204,sure
205,management
206,training
207,program
208,right
209,Here
210,completing
211,program
212,help
213,reach
214,personal
215,professional
216,goals
217,Management
218,ManagementTraining
219,In
220,final
221,episode
222,season
223,HBS
224,Professors
225,Youngme
226,Moon
227,Felix
228,Oberholzer-Gee
229,Mihir
230,Desai
231,offer
232,extended
233,set
234,recommendations
235,watching
236,reading
237,projects
238,summer
239,months
240,SummerReading
241,Podcast
242,Determined
243,intelligent
244,minds
245,partnership
246,mission-driven
247,organization
248,potential
249,make
250,global
251,change
252,time
253,needed
254,Learn
255,help
256,sustharvintl
257,mission
258,Community
259,ClimateChange
260,In
261,interview
262,HarvardBiz
263,HBS
264,Professor
265,Nancy
266,Koehn
267,discusses
268,past
269,leaders
270,handled
271,times
272,high
273,anxiety
274,Leadership
275,CourageousLeadership
276,By
277,understanding
278,basics
279,financial
280,valuation
281,anyone
282,learn
283,calculate
284,ROI
285,project
286,FinanceSkills
287,If
288,want
289,reduce
290,total
291,amount
292,disinformation
293,online
294,need
295,avoid
296,making
297,profitable
298,via
299,digHBS
300,DigitalAdvertising
301,Understanding
302,calculate
303,potential
304,return
305,investment
306,(
307,ROI
308,)
309,project
310,essential
311,financial
312,skill
313,professionals
314,develop
315,ROI
316,FinancialSkills
317,Something
318,big
319,happening
320,HBS
321,Online
322,Community
323,tomorrow
324,Be
325,sure
326,check
327,social
328,feed
329,find
330,going
331,Beyond
332,agile
333,strategy
334,keen
335,understanding
336,deal-making
337,tactics
338,successful
339,negotiation
340,requires
341,right
342,mindset
343,high
344,degree
345,EmotionalIntelligence
346,Explore
347,highlights
348,lecture
349,HBS
350,Online
351,Professor
352,Michael
353,Wheeler
354,Programmatic
355,advertising—the
356,use
357,software
358,buy
359,sell
360,ad
361,space—means
362,brands
363,typically
364,longer
365,exert
366,control
367,ads
368,appear
369,web
370,In
371,cases
372,becomes
373,extremely
374,problematic
375,via
376,digHBS
377,Disinformation
378,Step
379,role
380,business
381,leader
382,learn
383,concepts
384,context
385,real
386,business
387,issues
388,sharing
389,ideas
390,fellow
391,learners
392,around
393,world
394,The
395,deadline
396,apply
397,online
398,program
399,today
400,HBS
401,Online
402,Professor
403,RebeccaReCap
404,argues
405,tackling
406,climate
407,change
408,requires
409,leaders
410,embrace
411,new
412,vision
413,business
414,PurposeDriven
415,Learn
416,aeronautical
417,engineer
418,leveraged
419,HBS
420,Online
421,pursue
422,career
423,business
424,development
425,BusinessSkills
426,Businesses
427,starting
428,plan
429,re-entry
430,market
431,know
432,market
433,look
434,like
